Time,Open,High,Low,Close,Volume
2021-06-10 08:04:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:05:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:06:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:07:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:08:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:09:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:10:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:11:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:12:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:13:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:14:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:15:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:16:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:17:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:18:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:19:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:20:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:21:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:22:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:23:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:24:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:25:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:26:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:27:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:28:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:29:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:30:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:31:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:32:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:33:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:34:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:35:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:36:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:37:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:38:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:39:00,1.0091,1.0091,1.0091,1.0091,0.0
2021-06-10 08:40:00,0.9956,0.9956,0.9906,0.9906,214.96
2021-06-10 08:41:00,0.9906,0.9906,0.9906,0.9906,0.0
2021-06-10 08:42:00,0.9906,0.9906,0.9906,0.9906,0.0
2021-06-10 08:43:00,0.9906,0.9906,0.9906,0.9906,0.0
2021-06-10 08:44:00,0.9906,0.9906,0.9906,0.9906,0.0
2021-06-10 08:45:00,0.9902,0.9902,0.9902,0.9902,26.0
2021-06-10 08:46:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:47:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:48:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:49:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:50:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:51:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:52:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:53:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:54:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:55:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:56:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:57:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:58:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 08:59:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:00:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:01:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:02:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:03:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:04:00,0.9838,0.9838,0.9838,0.9838,302.9
2021-06-10 09:05:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:06:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:07:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:08:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:09:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:10:00,0.9838,0.9838,0.9838,0.9838,0.0
2021-06-10 09:11:00,0.9835,0.9835,0.9784,0.9784,195.29
2021-06-10 09:12:00,0.9769,0.9769,0.9769,0.9769,26.0
2021-06-10 09:13:00,0.9769,0.9769,0.9769,0.9769,0.0
2021-06-10 09:14:00,0.9769,0.9769,0.9769,0.9769,0.0
2021-06-10 09:15:00,0.9769,0.9769,0.9769,0.9769,0.0
2021-06-10 09:16:00,0.9875,0.9875,0.9875,0.9875,11.14
2021-06-10 09:17:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:18:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:19:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:20:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:21:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:22:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:23:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:24:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:25:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:26:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:27:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:28:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:29:00,0.9875,0.9875,0.9875,0.9875,0.0
2021-06-10 09:30:00,0.9902,0.9902,0.9902,0.9902,26.0
2021-06-10 09:31:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:32:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:33:00,0.9902,0.9902,0.9902,0.9902,0.0
2021-06-10 09:34:00,0.9973,0.9975,0.9973,0.9975,184.33
2021-06-10 09:35:00,1.0035,1.0035,1.0035,1.0035,26.0
2021-06-10 09:36:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:37:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:38:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:39:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:40:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:41:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:42:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:43:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:44:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:45:00,1.0035,1.0035,1.0035,1.0035,0.0
2021-06-10 09:46:00,1.007,1.007,1.007,1.007,10.93
2021-06-10 09:47:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:48:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:49:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:50:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:51:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:52:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:53:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:54:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:55:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:56:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:57:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 09:58:00,1.007,1.007,1.007,1.007,155.41
2021-06-10 09:59:00,1.007,1.007,1.007,1.007,0.0
2021-06-10 10:00:00,1.007,1.007,1.007,1.007,155.25
2021-06-10 10:01:00,1.0105,1.0105,1.0105,1.0105,171.07
2021-06-10 10:02:00,1.0105,1.0105,1.0105,1.0105,0.0
2021-06-10 10:03:00,1.0168,1.0168,1.0168,1.0168,36.82
2021-06-10 10:04:00,1.0204,1.0236,1.0204,1.0236,471.78
2021-06-10 10:05:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:06:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:07:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:08:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:09:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:10:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:11:00,1.0236,1.0236,1.0236,1.0236,0.0
2021-06-10 10:12:00,1.0236,1.0236,1.0151,1.0151,1102.99
2021-06-10 10:13:00,1.0151,1.0151,1.0151,1.0151,66.71
2021-06-10 10:14:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:15:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:16:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:17:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:18:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:19:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:20:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:21:00,1.0151,1.0151,1.0151,1.0151,0.0
2021-06-10 10:22:00,1.0217,1.0225,1.0217,1.0225,1373.36
2021-06-10 10:23:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:24:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:25:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:26:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:27:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:28:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:29:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:30:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:31:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:32:00,1.0225,1.0225,1.0225,1.0225,0.0
2021-06-10 10:33:00,1.0266,1.0266,1.0266,1.0266,10.72
2021-06-10 10:34:00,1.0266,1.0266,1.0266,1.0266,0.0
2021-06-10 10:35:00,1.0266,1.0266,1.0266,1.0266,0.0
2021-06-10 10:36:00,1.0301,1.0301,1.0301,1.0301,26.0
2021-06-10 10:37:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:38:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:39:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:40:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:41:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:42:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:43:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:44:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:45:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:46:00,1.0301,1.0301,1.0301,1.0301,0.0
2021-06-10 10:47:00,1.02,1.02,1.02,1.02,10.78
2021-06-10 10:48:00,1.0168,1.0168,1.0168,1.0168,26.0
2021-06-10 10:49:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:50:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:51:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:52:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:53:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:54:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:55:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:56:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:57:00,1.0168,1.0168,1.0168,1.0168,0.0
2021-06-10 10:58:00,1.0133,1.0133,1.0133,1.0133,365.52
2021-06-10 10:59:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:00:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:01:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:02:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:03:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:04:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:05:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:06:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:07:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:08:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:09:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:10:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:11:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:12:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:13:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:14:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:15:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:16:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:17:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:18:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:19:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:20:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:21:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:22:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:23:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:24:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:25:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:26:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:27:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:28:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:29:00,1.0133,1.0133,1.0133,1.0133,0.0
2021-06-10 11:30:00,1.0113,1.0113,1.0113,1.0113,10.87
2021-06-10 11:31:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:32:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:33:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:34:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:35:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:36:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:37:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:38:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:39:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:40:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:41:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:42:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:43:00,1.0113,1.0113,1.0113,1.0113,0.0
2021-06-10 11:44:00,1.0087,1.017,1.004,1.017,3443.45
2021-06-10 11:45:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:46:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:47:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:48:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:49:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:50:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:51:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:52:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:53:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:54:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:55:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:56:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:57:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:58:00,1.017,1.017,1.017,1.017,0.0
2021-06-10 11:59:00,1.017,1.017,1.017,1.017,0.0
